key	name	Desc	Level	multiplyATK	acquireMethod	ingredients	conditionTypes	conditionValues
Normal	일반탄	피부의 일부를 빠르게 발사합니다.	0		Select			
Pierce	관통탄	탄이 모두 튕긴 후 관통합니다.	1	1	Select			
Giant	거대탄	탄이 커지고 데미지가 1.5배 증가	1	1.5	Select			
Iron	철탄	튕겨도 데미지 감소 안함	1	1	Select			
Thunder	낙뢰	주변 랜덤으로 낙뢰 떨어짐	1	1	Select			
Flame	불탄	30% 확률로 불 붙음	1	1	Select			
Condense	응축탄	튕기는 횟수 절반, 감소된 만큼 데미지 증가(튕기는 횟수 10 → 5가됨 5* 50%, 2.5배)	1	0.5	Select			
Orbit	회전탄	튕기는 횟수만큼 부딪히고 회전하고 사라짐 (Radius 고정)	1	1	Select			
Vampire	흡혈탄	적 처리 시 체력의 0.5%	1	1	Select			
Split	분열	처지 시 분열, 분열된 탄은 데미지 절반 + 튕김 없음	1	1	Select			
Scatter	산탄	3방향으로 쏨	1	0.5	Select			 
