stage	phase	enemyType	DaySpawnCount	DayIntervalTime	NightSpawnCount	NightIntervalTime
1	0	Melee	1	8/10	2	4/5
1	0	Ranged	0	7/8	1	6/7
1	1	Melee	1	8/10	2	4/5
1	1	Ranged	0	7/8	1	6/7
1	2	Melee	1	8/10	2	4/5
1	2	Ranged	0	7/8	1	6/7
1	3	Melee	1	8/10	2	4/5
1	3	Ranged	0	7/8	1	6/7
1	4	Melee	1	8/10	2	4/5
1	4	Ranged	0	7/8	1	6/7
1	5	Melee	1	8/10	2	4/5
1	5	Ranged	0	7/8	1	6/7
1	6	Melee	1	8/10	2	4/5
1	6	Ranged	0	7/8	1	6/7
1	7	Melee	1	8/10	2	4/5
1	7	Ranged	0	7/8	1	6/7
1	8	Melee	1	8/10	2	4/5
1	8	Ranged	0	7/8	1	6/7
1	9	Melee	1	8/10	2	4/5
1	9	Ranged	0	7/8	1	6/7`
