enhanceLevel	D_Exp	C_Exp	B_Exp	A_Exp	S_Exp	SS_Exp	SSS_Exp	D_Price	C_Price	B_Price	A_Price	S_Price	SS_Price	SSS_Price
1	10	8	6	4	2	2	2	50	200	650	2000	7250	19550	44400
2	20	16	12	8	4	3	3	100	350	1100	3050	9300	23100	50050
3	30	24	18	12	6	4	4	150	500	1550	4100	11350	26650	55700
4	40	32	24	16	8	5	5	200	650	2000	5150	13400	30200	44401
5	50	40	30	20	10	6	6	250	800	2450	6200	15450	33750	50051
6	60	48	36	24	12	7	7	300	950	2900	7250	17500	37300	55701
7	70	56	42	28	14	8	8	350	1100	3350	8300	19550	40850	44402
8	80	64	48	32	16	9	9	400	1250	3800	9350	21600	44400	50052
9	90	72	54	36	18	10	10	450	1400	4250	10400	23650	47950	55702
10	100	80	60	40	20	11	11	500	1550	4700	11450	25700	51500	44403
11	110	88	66	44	22	12	12	550	1700	5150	12500	27750	55050	50053
12	120	96	72	48	24	13	13	600	1850	5600	13550	29800	58600	55703
13	130	104	78	52	26	14	14	650	2000	6050	14600	31850	62150	44404
14	140	112	84	56	28	15	15	700	2150	6500	15650	33900	65700	50054
15	150	120	90	60	30	16	16	750	2300	6950	16700	35950	69250	55704
