key,name,desc,grade,growth
Base,베비,가능성이 풍부한 작은 슬라임,D,0
Wacky,엉뚱한,{0}초마다 랜덤한 방향으로 총알을 발사합니다.,C,1
Bounce,탄성,1회 튕기는 도탄 발사/2회 튕기는 도탄 발사/4회 튕기는 도탄 발사,C,1
Flame,화염,화염탄을1개 발사/,C,1
Orbit,궤도,궤도 생성 (3초마다 체력 -1체력),B,1
Pierce,관통,탄 4번 쏠때마다 관통탄 추가 발사 (랜덤 방향) +3 > +5 > +7,B,1
Ice,얼음,20% 확률로 빙결되는 얼음을 발사합니다.,C,1
Thunder,썬더,쏠때마다 랜덤한 위치에 번개가 떨어짐,B,1
Lightning,라이트닝,"몬스터 공격 시 타겟을 포함한 3개의 몬스터에게 각각 100%, 70%, 30% [전기]데미지를 입힌다.",A,1
Dopamine,도파민,처지 시 한발 더 발사함,A,1
Heal,치료,10초마다 체력 1씩 회복시킴,A,1
Boom,폭발,폭발탄 발사(범위 피해),S,1
Shield,방패,"원거리 공격 방어, 체력 +25",S,1
