level	AttackPower	AttackSpeed	AttackRange	EnhanceAbility	FlameDPS
0	10/10	30/3	3/0.2		5/7/10
1	10/10	35/4	3/0.2		5/7/10
2	11/11	35/4	3/0.2	공격력 10% 증가	5/7/10
3	11/11	35/4	3.2/0.2		5/7/10
4	12/12	35/4	3.2/0.2		5/7/10
5	12/12	40/5	3.2/0.2	화염 지속 시간 4초 > 5초 증가	5/7/10
6	13/13	40/5	3.2/0.2		5/7/10
7	13/13	40/5	3.5/0.2		5/7/10
8	13/13	40/5	3.5/0.2	[각성] 능력 개방 - 5초마다 주변 적에게 화염	5/7/10
9	14/14	40/5	3.5/0.2		5/7/10
10	14/14	45/6	3.5/0.2		5/7/10
11	14/14	45/6	3.8/0.2	화염이 없는 유닛을 우선 타겟	5/7/10
12	15/15	45/6	3.8/0.2		5/7/10
13	15/15	45/6	3.8/0.2		5/7/10
14	15/15	50/7	3.8/0.2	공격력 10% 증가 + 공격속도 10% 증가	5/7/10
