level	AttackPower	AttackSpeed	AttackRange	EnhanceAbility	EffectChance
0	10/10	30	3		0.2/0.3/0.4
1	10/10	35	3		0.2/0.3/0.4
2	11/11	35	3	공격력 10% 증가	0.2/0.3/0.4
3	11/11	35	3.2		0.2/0.3/0.4
4	12/12	35	3.2		0.2/0.3/0.4
5	12/12	40	3.2	튕기는 횟수 +1	0.2/0.3/0.4
6	13/13	40	3.2		0.2/0.3/0.4
7	13/13	40	3.5		0.2/0.3/0.4
8	13/13	40	3.5	튕길때마다 데미지 10% 상승	0.2/0.3/0.4
9	14/14	40	3.5		0.2/0.3/0.4
10	14/14	45	3.5		0.2/0.3/0.4
11	14/14	45	3.8	튕기는 횟수 +1	0.2/0.3/0.4
12	15/15	45	3.8		0.2/0.3/0.4
13	15/15	45	3.8		0.2/0.3/0.4
14	15/15	50	3.8		0.2/0.3/0.4
