level	AttackPower	AttackSpeed	AttackRange	EnhanceAbility	SkillCooltime
0	10/10	30/3	3/0.2		2/1.5/1
1	10/10	35/4	3/0.2		2/1.5/1
2	11/11	35/4	3/0.2	공격력 10% 증가	2/1.5/1
3	11/11	35/4	3.2/0.2		2/1.5/1
4	12/12	35/4	3.2/0.2		2/1.5/1
5	12/12	40/5	3.2/0.2	추가 발사 쿨타임 10% 감소	2/1.5/1
6	13/13	40/5	3.2/0.2		2/1.5/1
7	13/13	40/5	3.5/0.2		2/1.5/1
8	13/13	40/5	3.5/0.2	[각성] 6번 탄을 발사할때마다 4빙향으로 발사	2/1.5/1
9	14/14	40/5	3.5/0.2		2/1.5/1
10	14/14	45/6	3.5/0.2		2/1.5/1
11	14/14	45/6	3.8/0.2	[각성] 스킬 발동 시 7방향으로 발사	2/1.5/1
12	15/15	45/6	3.8/0.2		2/1.5/1
13	15/15	45/6	3.8/0.2		2/1.5/1
14	15/15	50/7	3.8/0.2	공격력 10% 증가 + 공격속도 10% 증가	2/1.5/1
